"source","radio","association","class","distance(kpc)","l(deg)","b(deg)","period(s)","pdot(1e-11s/s)","pdot_ul","Bp(e14G)","B_ul","Edot(e33erg/s)","Edot_ul","tau_c(kyr)","tauc_lowlim","tau_real(kyr)","ref_age_real","luminosity_bol_qui(e33erg/s)","lum_ul","kT_min","Err_kT_min","kT_min_ul","lumin_peak","kT_max","Err_kT_max","kT_max_ul","Unnamed: 27"
"PSRB1055-52","True","","RPP","0.35","285.98434100000014","6.649336","0.197","0.00058","","0.022000000000000002","","31.62","","540","","","","0.0785942","","0.068","0.003","","","","","",""
"PSRJ0633+1746","True","Geminga","RPP","0.19","195.133837","4.265811","0.237","0.0011","","0.033","","31.62","","340","","","","0.044523900000000005","","0.042","0.005","","","","","",""
"PSRB1706-44","True","G343.1-02.3","RPP","2.6","343.0982140000001","-2.6851130000000003","0.102","0.0093","","0.062","","3162.28","","17","","","","","","0.071","0.07","","","","","",""
"PSRB0833-45","True","SNR Vela","RPP","0.28","263.551962","-2.787257","0.08900000000000001","0.012","","0.068","","6309.56","","11","","8.9","SNR","0.4","","0.057","0.003","","","","","",""
"PSRB0656+14","True","SNR Monogem","RPP","0.28","201.10766","8.258282000000001","0.385","0.0055","","0.093","","39.81","","110","","79.4","SNR","0.026455000000000003","","0.064","0.02","","","","","",""
"PSRB2334+61","True","G114.3+00.3","RPP","3.1","114.28389","0.233355","0.495","0.019","","0.2","","63.1","","41","","7.7","PM","0.07810360000000001","","0.038","0.009000000000000001","","","","","",""
"PSRJ1740+1000","True","","RPP","1.4","34.01052","20.268413","0.154","0.00215","","0.036000000000000004","","230","","114","","","","0.180756","","0.14800000000000002","0.02","","","","","",""
"PSRJ0205+6449","True","3C58","RPP","3.2","","","0.0657","0.0193","","0.07200000000000001","","27000","","5.37","","0.83","SNR","0.351391","","0.049","0.005","","","","","",""
"PSRJ0357+3205","","Morla","RPP","0.45","","","0.444","0.0013","","0.048","","5.9","","540","","","","","","0.036000000000000004","0.01","","","","","",""
"PSRJ0633+0632","","G205.5+0.5","RPP","0.9","","","0.297","0.00795","","0.094","","120","","59.2","","","SNR","","","0.053","0.006","","","","","",""
"PSRJ1357-6429","True","HESSJ1356-645","RPP","2.5","","","0.166","0.036000000000000004","","0.156","","3100","","7.3","","","","0.150759","","0.064","0.004","","","","","",""
