NAME;PSRJ;P0;P1;BINARY;PB;DIST;ASSOC;AGE;BSURF;EDOT
229;J1838-0537;J1838-0537;0.145708;4.72E-13;*;*;*;GRS:3FGL_J1838.9-0537[aaa+15];4.89E+03;8.39E+12;6.02E+36
2235;J1837-1243;J1837-1243;1.876019;3.65E-14;*;*;8.27;*;8.14E+05;8.38E+12;2.18E+32
2228;J1823-1126;J1823-1126;1.846534;3.65E-14;*;*;9.274;*;8.01E+05;8.31E+12;2.29E+32
2464;J1707-4417;J1707-4417;5.763777;1.16E-14;*;*;14.053;*;7.84E+06;8.29E+12;2.40E+30
2103;B1846-06;J1849-0636;1.451319;4.62E-14;*;*;3.849;*;4.97E+05;8.29E+12;5.97E+32
983;J0554+3107;J0554+3107;0.464961;1.43E-13;*;*;*;SNR:G179.0+2.6(?)[pga+13],GRS:3FGL_J0554;5.17E+04;8.24E+12;5.60E+34
2431;J1741-2019;J1741-2019;3.904506;1.63E-14;*;*;2.553;*;3.80E+06;8.06E+12;1.08E+31
946;J1737-3137;J1737-3137;0.450432;1.39E-13;*;*;4.162;*;5.14E+04;8.00E+12;5.99E+34
1301;J1057-5851;J1057-5851;0.620365;1.01E-13;*;*;*;GRS:3FGL_J1056.7-5853[aaa+15];9.77E+04;7.99E+12;1.66E+34
2411;J1617-4216;J1617-4216;3.428466;1.81E-14;*;*;7.287;*;3.00E+06;7.98E+12;1.78E+31
539;J1958+2846;J1958+2846;0.290389;2.12E-13;*;*;1.95;GRS:2FGL_J1958.6+2845[naa+12];2.17E+04;7.94E+12;3.42E+35
1637;B1558-50;J1602-5100;0.864286;6.94E-14;*;*;8;*;1.97E+05;7.84E+12;4.24E+33
260;J1357-6429;J1357-6429;0.166108;3.60E-13;*;*;3.1;XRS:PWN[zav07];7.31E+03;7.83E+12;3.10E+36
2391;J1055-6905;J1055-6905;2.919397;2.03E-14;*;*;2.035;*;2.27E+06;7.80E+12;3.23E+31
2325;J2005-0020;J2005-0020;2.279661;2.57E-14;*;*;1.835;*;1.41E+06;7.74E+12;8.55E+31
1012;J1806-2125;J1806-2125;0.481825;1.18E-13;*;*;4.886;*;6.47E+04;7.63E+12;4.16E+34
1869;J1654-4245;J1654-4245;1.101555;5.12E-14;*;*;10.606;*;3.41E+05;7.60E+12;1.51E+33
2223;J1900-0134;J1900-0134;1.832332;3.05E-14;*;*;4.854;*;9.52E+05;7.56E+12;1.96E+32
475;B1853+01;J1856+0113;0.26744;2.08E-13;*;*;3.3;SNR:W44,XRS:PWN[pks02];2.03E+04;7.55E+12;4.30E+35
1435;J1633-4805;J1633-4805;0.71083;7.69E-14;*;*;6.171;*;1.46E+05;7.48E+12;8.45E+33
420;J1702-4310;J1702-4310;0.240524;2.24E-13;*;*;4.326;*;1.70E+04;7.42E+12;6.35E+35
2140;J1329-6158;J1329-6158;1.565218;3.39E-14;*;*;11.872;*;7.32E+05;7.37E+12;3.49E+32
2385;J1759-1956;J1759-1956;2.843389;1.86E-14;*;*;4.62;*;2.43E+06;7.35E+12;3.19E+31
1742;J1849-0614;J1849-0614;0.953384;5.39E-14;*;*;3.523;*;2.80E+05;7.25E+12;2.46E+33
1965;J1020-5921;J1020-5921;1.238305;4.05E-14;*;*;0.938;*;4.85E+05;7.16E+12;8.41E+32
1904;J1658-4306;J1658-4306;1.166449;4.28E-14;*;*;5.254;*;4.32E+05;7.15E+12;1.06E+33
