NAME;PSRJ;P0;P1;BINARY;PB;DIST;ASSOC;AGE;BSURF;EDOT
1737;J1724-3149;J1724-3149;0.948237;7.25E-15;*;*;18.452;*;2.07E+06;2.65E+12;3.36E+32
1660;J1843-0000;J1843-0000;0.880334;7.77E-15;*;*;3.328;*;1.79E+06;2.65E+12;4.50E+32
1231;J1546-5302;J1546-5302;0.58084;1.18E-14;*;*;5.334;*;7.80E+05;2.65E+12;2.38E+33
640;J0857-4424;J0857-4424;0.326786;2.09E-14;*;*;2.833;*;2.47E+05;2.65E+12;2.37E+34
2070;J0454+4529;J0454+4529;1.389137;4.89E-15;*;*;0.765;*;4.50E+06;2.64E+12;7.20E+31
1513;J1826-1419;J1826-1419;0.77062;8.78E-15;*;*;3.243;*;1.39E+06;2.63E+12;7.58E+32
2102;B0932-52;J0934-5249;1.444777;4.65E-15;*;*;0.349;*;4.92E+06;2.62E+12;6.09E+31
738;J1907+0731;J1907+0731;0.363676;1.84E-14;*;*;4.994;*;3.13E+05;2.62E+12;1.51E+34
1194;B1834-10;J1836-1008;0.562711;1.18E-14;*;*;5.343;*;7.56E+05;2.61E+12;2.61E+33
1569;B1931+24;J1933+2421;0.81369;8.11E-15;*;*;4.639;*;1.59E+06;2.60E+12;5.94E+32
1551;J1840+0214;J1840+0214;0.797478;8.29E-15;*;*;5.846;*;1.52E+06;2.60E+12;6.46E+32
1045;J1747-2647;J1747-2647;0.500254;1.32E-14;*;*;6.135;*;5.99E+05;2.60E+12;4.18E+33
1408;B2224+65;J2225+6535;0.682542;9.66E-15;*;*;0.9;XRS:[hb07b],OPT:Guitar_Nebula[crl93];1.12E+06;2.60E+12;1.20E+33
2383;J1747-2802;J1747-2802;2.780079;2.37E-15;*;*;5.148;*;1.86E+07;2.59E+12;4.35E+30
2146;J2038-3816;J2038-3816;1.577289;4.16E-15;*;*;3.588;*;6.00E+06;2.59E+12;4.19E+31
1346;J1543-5013;J1543-5013;0.644255;1.01E-14;*;*;5.809;*;1.01E+06;2.59E+12;1.50E+33
1011;J1610-5006;J1610-5006;0.481119;1.36E-14;*;*;5.665;*;5.59E+05;2.59E+12;4.83E+33
1714;J2208+5500;J2208+5500;0.933163;6.99E-15;*;*;3.03;*;2.12E+06;2.58E+12;3.39E+32
262;J1850-0026;J1850-0026;0.166634;3.91E-14;*;*;6.71;*;6.75E+04;2.58E+12;3.34E+35
2303;J1831-1329;J1831-1329;2.165679;2.99E-15;*;*;6.314;*;1.15E+07;2.57E+12;1.16E+31
2117;J1700-3611;J1700-3611;1.494091;4.32E-15;*;*;9.288;*;5.47E+06;2.57E+12;5.12E+31
1366;B1714-34;J1717-3425;0.656299;9.80E-15;*;*;25;*;1.06E+06;2.57E+12;1.37E+33
845;B1910+10;J1912+1036;0.409349;1.58E-14;*;*;4.154;*;4.11E+05;2.57E+12;9.07E+33
2130;J1537-5153;J1537-5153;1.528124;4.17E-15;*;*;2.744;*;5.80E+06;2.56E+12;4.62E+31
2044;J1700-3312;J1700-3312;1.358307;4.71E-15;*;*;7.386;*;4.57E+06;2.56E+12;7.42E+31
1639;J1709-4401;J1709-4401;0.865235;7.37E-15;*;*;4.597;*;1.86E+06;2.56E+12;4.49E+32
1878;J1938+0650;J1938+0650;1.121562;5.68E-15;*;*;2.832;*;3.13E+06;2.55E+12;1.59E+32
502;B1822-14;J1825-1446;0.279198;2.27E-14;*;*;4.44;*;1.95E+05;2.55E+12;4.11E+34
2376;J1106-6438;J1106-6438;2.717934;2.33E-15;*;*;2.153;*;1.85E+07;2.54E+12;4.58E+30
2323;B0559-57;J0600-5756;2.261365;2.78E-15;*;*;0.553;*;1.29E+07;2.54E+12;9.49E+30
2284;J1715-4034;J1715-4034;2.072155;3.03E-15;*;*;3.917;*;1.08E+07;2.54E+12;1.35E+31
2265;J0636-4549;J0636-4549;1.984597;3.17E-15;*;*;0.383;*;9.91E+06;2.54E+12;1.60E+31
1056;J1117-6154;J1117-6154;0.505097;1.25E-14;*;*;3.976;*;6.40E+05;2.54E+12;3.83E+33
998;J1843-0744;J1843-0744;0.475393;1.33E-14;*;*;7.053;*;5.66E+05;2.54E+12;4.89E+33
755;J1216-6223;J1216-6223;0.374053;1.68E-14;*;*;18.316;*;3.52E+05;2.54E+12;1.27E+34
1928;J1758-2630;J1758-2630;1.202893;5.17E-15;*;*;4.35;*;3.69E+06;2.52E+12;1.17E+32
1430;J1407-6153;J1407-6153;0.701615;8.85E-15;*;*;8.205;*;1.26E+06;2.52E+12;1.01E+33
1348;B0840-48;J0842-4851;0.644354;9.56E-15;*;*;3.103;*;1.07E+06;2.51E+12;1.41E+33
828;B1913+10;J1915+1009;0.404552;1.53E-14;*;*;7;*;4.20E+05;2.51E+12;9.10E+33
1761;J1302-6313;J1302-6313;0.967846;6.33E-15;*;*;11.331;*;2.42E+06;2.50E+12;2.76E+32
774;J1650-4502;J1650-4502;0.38087;1.61E-14;*;*;3.918;*;3.76E+05;2.50E+12;1.15E+34
2340;B2321-61;J2324-6054;2.347488;2.58E-15;*;*;1.207;*;1.44E+07;2.49E+12;7.88E+30
2218;J0930-2301;J0930-2301;1.807069;3.36E-15;*;*;25;*;8.52E+06;2.49E+12;2.25E+31
1991;J1839-0223;J1839-0223;1.26679;4.76E-15;*;*;6.088;*;4.21E+06;2.49E+12;9.25E+31
1747;J1814-1649;J1814-1649;0.957464;6.33E-15;*;*;5.205;*;2.40E+06;2.49E+12;2.85E+32
150;J1747-2958;J1747-2958;0.098814;6.13E-14;*;*;2.52;PWN:G359.23-0.82[gvc+04],GRS:1AGL_J1746-;2.55E+04;2.49E+12;2.51E+36
2198;J2137+6428;J2137+6428;1.750989;3.43E-15;*;*;3.764;*;8.08E+06;2.48E+12;2.53E+31
1727;J1840-1122;J1840-1122;0.940962;6.41E-15;*;*;9.981;*;2.33E+06;2.48E+12;3.04E+32
1610;J1538-5638;J1538-5638;0.84398;7.12E-15;*;*;7.043;*;1.88E+06;2.48E+12;4.68E+32
1417;J1901+0435;J1901+0435;0.690576;8.67E-15;*;*;10.29;*;1.26E+06;2.48E+12;1.04E+33
762;J1801-2154;J1801-2154;0.375302;1.60E-14;*;*;4.132;*;3.71E+05;2.48E+12;1.20E+34
1016;J1833-0559;J1833-0559;0.483459;1.23E-14;*;*;7.134;*;6.20E+05;2.47E+12;4.31E+33
1537;J1902-1036;J1902-1036;0.786814;7.54E-15;*;*;3.795;*;1.65E+06;2.46E+12;6.11E+32
1396;J1635-4944;J1635-4944;0.671964;8.79E-15;*;*;7.36;*;1.21E+06;2.46E+12;1.14E+33
1329;J1845-0826;J1845-0826;0.634354;9.35E-15;*;*;5.011;*;1.07E+06;2.46E+12;1.45E+33
1291;J1823-1347;J1823-1347;0.617107;9.60E-15;*;*;5.873;*;1.02E+06;2.46E+12;1.61E+33
492;J1853+0056;J1853+0056;0.275578;2.14E-14;*;*;3.841;*;2.04E+05;2.46E+12;4.03E+34
890;B0919+06;J0922+0638;0.430627;1.37E-14;*;*;1.1;XRS:[pb15];4.97E+05;2.46E+12;6.79E+33
2027;J1754-3014;J1754-3014;1.32049;4.43E-15;*;*;2.52;*;4.72E+06;2.45E+12;7.59E+31
2058;B2151-56;J2155-5641;1.373654;4.23E-15;*;*;1.043;*;5.15E+06;2.44E+12;6.44E+31
1143;J1916+0748;J1916+0748;0.541752;1.07E-14;*;*;11.779;*;8.02E+05;2.44E+12;2.66E+33
2226;J1054-6452;J1054-6452;1.840004;3.14E-15;*;*;2.342;*;9.29E+06;2.43E+12;1.99E+31
2174;J1937+2950;J1937+2950;1.657429;3.48E-15;*;*;7.477;*;7.54E+06;2.43E+12;3.02E+31
1769;J1306-6242;J1306-6242;0.981902;5.86E-15;*;*;11.43;*;2.65E+06;2.43E+12;2.44E+32
929;J0357+3205;J0357+3205;0.444104;1.30E-14;*;*;0.835;GRS:2FGL_J0357.8+3205[naa+12];5.40E+05;2.43E+12;5.88E+33
2150;J1635-4513;J1635-4513;1.594746;3.60E-15;*;*;7.735;*;7.02E+06;2.42E+12;3.50E+31
2329;J1226+0005;J1226+0005;2.285076;2.47E-15;*;*;1.868;*;1.46E+07;2.41E+12;8.19E+30
2142;B0917+63;J0921+6254;1.567994;3.61E-15;*;*;1.003;*;6.89E+06;2.41E+12;3.69E+31
1529;B1813-17;J1816-1729;0.782313;7.26E-15;*;*;4.446;*;1.71E+06;2.41E+12;5.99E+32
114;J1420-6048;J1420-6048;0.06818;8.32E-14;*;*;5.632;GRS:2FGL_J1420.1-6047[naa+12],GRS:HESS_J;1.30E+04;2.41E+12;1.04E+37
82;J1813-1749;J1813-1749;0.044699;1.27E-13;*;*;4.7;SNR:12.8-0.0,GRS:HESS_J1813-178;5.60E+03;2.41E+12;5.59E+37
2197;J1650-1654;J1650-1654;1.749552;3.20E-15;*;*;1.055;*;8.66E+06;2.40E+12;2.36E+31
1796;B1907+00;J1909+0007;1.016948;5.52E-15;*;*;4.358;*;2.92E+06;2.40E+12;2.07E+32
1715;J1839-0141;J1839-0141;0.933266;5.94E-15;*;*;6.074;*;2.49E+06;2.38E+12;2.89E+32
1021;B1842-04;J1845-0434;0.486751;1.13E-14;*;*;4.093;*;6.81E+05;2.38E+12;3.88E+33
319;J1732-3131;J1732-3131;0.196543;2.80E-14;*;*;0.64;GRS:2FGL_J1732.5-3131[naa+12];1.11E+05;2.38E+12;1.46E+35
2128;J0912-3851;J0912-3851;1.526085;3.59E-15;*;*;0.346;*;6.74E+06;2.37E+12;3.99E+31
2119;J1457-5900;J1457-5900;1.498637;3.66E-15;*;*;3.738;*;6.49E+06;2.37E+12;4.29E+31
1774;B1907+02;J1909+0254;0.989831;5.53E-15;*;*;4.5;*;2.84E+06;2.37E+12;2.25E+32
1299;J1309-6415;J1309-6415;0.619454;8.79E-15;*;*;11.977;*;1.12E+06;2.36E+12;1.46E+33
2187;B1649-23;J1652-2404;1.703739;3.16E-15;*;*;3.369;*;8.55E+06;2.35E+12;2.52E+31
1101;J1844-0310;J1844-0310;0.525049;1.02E-14;*;*;5.973;*;8.13E+05;2.35E+12;2.79E+33
1603;B1503-51;J1506-5158;0.840739;6.37E-15;*;*;1.384;*;2.09E+06;2.34E+12;4.23E+32
1169;J1818-1541;J1818-1541;0.551134;9.68E-15;*;*;4.792;*;9.02E+05;2.34E+12;2.28E+33
387;J1916+1225;J1916+1225;0.227387;2.35E-14;*;*;6.486;*;1.54E+05;2.34E+12;7.87E+34
2069;J0122+1416;J0122+1416;1.388994;3.80E-15;*;*;1.584;*;5.79E+06;2.33E+12;5.60E+31
1141;J0835-3707;J0835-3707;0.541404;9.78E-15;*;*;0.555;*;8.77E+05;2.33E+12;2.43E+33
1002;B2045+56;J2046+5708;0.476735;1.11E-14;*;*;4.341;*;6.79E+05;2.33E+12;4.05E+33
891;J1755-26;J1755-26;0.430872;1.23E-14;*;*;3.946;*;5.56E+05;2.33E+12;6.06E+33
2127;B2154+40;J2157+4017;1.525266;3.43E-15;*;*;2.9;*;7.04E+06;2.32E+12;3.82E+31
2100;J2010+3230;J2010+3230;1.442448;3.62E-15;*;*;13.034;*;6.32E+06;2.31E+12;4.76E+31
1574;J1928+1923;J1928+1923;0.81733;6.35E-15;*;*;10.566;*;2.04E+06;2.31E+12;4.59E+32
1398;B1900+06;J1902+0615;0.673505;7.71E-15;*;*;7;*;1.38E+06;2.31E+12;9.96E+32
1903;J1637-4721;J1637-4721;1.165741;4.44E-15;*;*;4.416;*;4.16E+06;2.30E+12;1.11E+32
1196;J0658+0022;J0658+0022;0.563295;9.15E-15;*;*;2.364;*;9.75E+05;2.30E+12;2.02E+33
1072;J1638-4233;J1638-4233;0.510929;1.01E-14;*;*;22.186;*;8.02E+05;2.30E+12;2.99E+33
2135;J1915+0738;J1915+0738;1.542704;3.31E-15;*;*;1.404;*;7.39E+06;2.29E+12;3.55E+31
1974;J1733-3322;J1733-3322;1.245915;4.10E-15;*;*;4.237;*;4.81E+06;2.29E+12;8.37E+31
1919;B1056-57;J1059-5742;1.185003;4.31E-15;*;*;1.645;*;4.36E+06;2.29E+12;1.02E+32
547;J1626-4807;J1626-4807;0.293928;1.75E-14;*;*;7.453;*;2.66E+05;2.29E+12;2.72E+34
2243;J1838+1650;J1838+1650;1.901967;2.68E-15;*;*;1.541;*;1.13E+07;2.28E+12;1.54E+31
1671;J1707-4341;J1707-4341;0.890594;5.70E-15;*;*;13.009;*;2.48E+06;2.28E+12;3.18E+32
1439;B1946+35;J1948+3540;0.717311;7.06E-15;*;*;7.65;*;1.61E+06;2.28E+12;7.55E+32
665;B1730-37;J1733-3716;0.337595;1.50E-14;*;*;3.15;*;3.56E+05;2.28E+12;1.54E+34
432;J1828-1057;J1828-1057;0.246333;2.07E-14;*;*;3.648;*;1.89E+05;2.28E+12;5.47E+34
2333;J1303-6305;J1303-6305;2.306642;2.18E-15;*;*;10.248;*;1.68E+07;2.27E+12;7.02E+30
230;J1809-2332;J1809-2332;0.146789;3.44E-14;*;*;0.88;GRS:2FGL_J1809.8-2332[naa+12],PWN:[brrk0;6.76E+04;2.27E+12;4.30E+35
128;J1856+0245;J1856+0245;0.080907;6.21E-14;*;*;6.318;GRS:HESS_J1857+026,XRS:AX_J185651+0245;2.06E+04;2.27E+12;4.63E+36
2089;J2108-3429;J2108-3429;1.423102;3.50E-15;*;*;3.884;*;6.44E+06;2.26E+12;4.80E+31
1272;J1657-4432;J1657-4432;0.609607;8.20E-15;*;*;4.558;*;1.18E+06;2.26E+12;1.43E+33
973;B1756-22;J1759-2205;0.460982;1.09E-14;*;*;3.256;*;6.73E+05;2.26E+12;4.37E+33
1585;J0555-7056;J0555-7056;0.827838;5.96E-15;*;*;49.7;EXGAL:LMC;2.20E+06;2.25E+12;4.15E+32
2134;J1904-1629;J1904-1629;1.541412;3.19E-15;*;*;25;*;7.66E+06;2.24E+12;3.44E+31
1598;J1637-4816;J1637-4816;0.837365;5.83E-15;*;*;7.362;*;2.27E+06;2.24E+12;3.92E+32
1365;B1859+03;J1901+0331;0.65545;7.46E-15;*;*;7;*;1.39E+06;2.24E+12;1.05E+33
1028;J1834-0812;J1834-0812;0.491142;9.96E-15;*;*;5.953;*;7.81E+05;2.24E+12;3.32E+33
1415;J0111-7131;J0111-7131;0.688542;7.09E-15;*;*;59.7;EXGAL:SMC;1.54E+06;2.24E+12;8.58E+32
1618;B1309-55;J1312-5516;0.849243;5.70E-15;*;*;4.187;*;2.36E+06;2.23E+12;3.68E+32
1204;J1802-2426;J1802-2426;0.569007;8.56E-15;*;*;12.876;*;1.05E+06;2.23E+12;1.83E+33
1161;J1751-3323;J1751-3323;0.548227;8.83E-15;*;*;14.283;*;9.84E+05;2.23E+12;2.12E+33
899;J1846+0051;J1846+0051;0.434373;1.12E-14;*;*;3.998;*;6.13E+05;2.23E+12;5.41E+33
815;J1717-4043;J1717-4043;0.397857;1.22E-14;*;*;14.244;*;5.15E+05;2.23E+12;7.67E+33
126;J1935+2025;J1935+2025;0.080118;6.08E-14;*;*;4.598;*;2.09E+04;2.23E+12;4.66E+36
1790;J1605-5215;J1605-5215;1.013609;4.75E-15;*;*;5.087;*;3.38E+06;2.22E+12;1.80E+32
1273;B1746-30;J1749-3002;0.609874;7.87E-15;*;*;12.731;*;1.23E+06;2.22E+12;1.37E+33
794;J1457-5902;J1457-5902;0.390739;1.23E-14;*;*;6.366;*;5.03E+05;2.22E+12;8.14E+33
1890;B1851-14;J1854-1421;1.146595;4.16E-15;*;*;6.91;*;4.37E+06;2.21E+12;1.09E+32
870;J1840-0445;J1840-0445;0.422316;1.13E-14;*;*;4.557;*;5.93E+05;2.21E+12;5.91E+33
1612;J1324-6146;J1324-6146;0.844109;5.58E-15;*;*;25;*;2.40E+06;2.20E+12;3.66E+32
2378;J0152+0948;J0152+0948;2.746647;1.70E-15;*;*;2.477;*;2.56E+07;2.19E+12;3.24E+30
1675;J1809-1429;J1809-1429;0.895285;5.24E-15;*;*;17.153;*;2.71E+06;2.19E+12;2.88E+32
2293;J1237-6725;J1237-6725;2.110974;2.19E-15;*;*;3.036;*;1.53E+07;2.18E+12;9.19E+30
2272;B1738-08;J1741-0840;2.043082;2.27E-15;*;*;3.571;*;1.42E+07;2.18E+12;1.05E+31
2210;J1819-1408;J1819-1408;1.78849;2.59E-15;*;*;8.976;*;1.09E+07;2.18E+12;1.79E+31
2145;J1547-0944;J1547-0944;1.576925;2.94E-15;*;*;3.756;*;8.50E+06;2.18E+12;2.96E+31
2251;J1851-0633;J1851-0633;1.920302;2.40E-15;*;*;6.199;*;1.27E+07;2.17E+12;1.34E+31
2072;J1522-5525;J1522-5525;1.389605;3.30E-15;*;*;2;*;6.67E+06;2.17E+12;4.86E+31
2022;J1724-4500;J1724-4500;1.309109;3.51E-15;*;*;7.366;*;5.90E+06;2.17E+12;6.18E+31
1940;B0643+80;J0653+8051;1.214441;3.80E-15;*;*;2.348;*;5.07E+06;2.17E+12;8.37E+31
1243;J1709-3841;J1709-3841;0.586986;7.86E-15;*;*;4.3;*;1.18E+06;2.17E+12;1.53E+33
2144;B2303+30;J2305+3100;1.575886;2.89E-15;*;*;4.348;*;8.63E+06;2.16E+12;2.92E+31
2109;B0226+70;J0231+7026;1.46682;3.11E-15;*;*;1.755;*;7.47E+06;2.16E+12;3.89E+31
1193;B1749-28;J1752-2806;0.562558;8.13E-15;*;*;0.2;*;1.10E+06;2.16E+12;1.80E+33
466;J1904+0800;J1904+0800;0.263345;1.73E-14;*;*;10.966;*;2.41E+05;2.16E+12;3.74E+34
2184;J1802-0523;J1802-0523;1.680573;2.65E-15;*;*;4.07;*;1.01E+07;2.14E+12;2.20E+31
1634;J1846-07492;J1846-07492;0.86138;5.19E-15;*;*;4.236;*;2.63E+06;2.14E+12;3.20E+32
1249;J1718-4539;J1718-4539;0.590473;7.51E-15;*;*;13.803;*;1.25E+06;2.13E+12;1.44E+33
1058;J1848+0647;J1848+0647;0.505957;8.75E-15;*;*;1.128;*;9.16E+05;2.13E+12;2.67E+33
1920;B1133+16;J1136+1551;1.187913;3.73E-15;*;*;0.372;XRS:[kpg06a];5.04E+06;2.13E+12;8.79E+31
1364;J1613-5234;J1613-5234;0.655221;6.63E-15;*;*;7.421;*;1.57E+06;2.11E+12;9.30E+32
216;J1857+0143;J1857+0143;0.13976;3.12E-14;*;*;4.566;*;7.10E+04;2.11E+12;4.51E+35
148;J1837-0604;J1837-0604;0.096294;4.52E-14;*;*;4.771;*;3.38E+04;2.11E+12;2.00E+36
1957;J0344-0901;J0344-0901;1.226006;3.47E-15;*;*;1.507;*;5.60E+06;2.09E+12;7.44E+31
315;J1105-6037;J1105-6037;0.194938;2.18E-14;*;*;*;GRS:3FGL_J1104.9-6036[aaa+15],XRS:1XSPS_;1.41E+05;2.09E+12;1.16E+35
2489;J2144-3933;J2144-3933;8.509827;4.96E-16;*;*;0.16;*;2.72E+08;2.08E+12;3.18E+28
2285;B2034+19;J2037+1942;2.074377;2.04E-15;*;*;2.794;*;1.61E+07;2.08E+12;9.02E+30
1087;J1651-4519;J1651-4519;0.517443;8.19E-15;*;*;5.061;*;1.00E+06;2.08E+12;2.33E+33
2209;J1822+1120;J1822+1120;1.787037;2.35E-15;*;*;7.776;*;1.21E+07;2.07E+12;1.62E+31
2200;J1744-1610;J1744-1610;1.757206;2.38E-15;*;*;1.923;*;1.17E+07;2.07E+12;1.73E+31
1235;J1843-1507;J1843-1507;0.58355;7.20E-15;*;*;12.02;*;1.28E+06;2.07E+12;1.43E+33
88;J2022+3842;J2022+3842;0.048579;8.61E-14;*;*;10;XRS:CXOU_J202221.68+384214.8,SNR:G76.9+1;8.94E+03;2.07E+12;2.96E+37
2173;B1112+50;J1115+5030;1.65644;2.49E-15;*;*;0.923;*;1.05E+07;2.06E+12;2.17E+31
1699;B1817-13;J1820-1346;0.92146;4.50E-15;*;*;5.902;*;3.25E+06;2.06E+12;2.27E+32
1339;J1123-6102;J1123-6102;0.640234;6.46E-15;*;*;3.487;*;1.57E+06;2.06E+12;9.72E+32
2107;J1725-4043;J1725-4043;1.465071;2.79E-15;*;*;4.465;*;8.32E+06;2.05E+12;3.50E+31
1360;B1706-16;J1709-1640;0.653054;6.31E-15;*;*;0.562;*;1.64E+06;2.05E+12;8.94E+32
2095;B2323+63;J2325+6316;1.43631;2.83E-15;*;*;4.855;*;8.05E+06;2.04E+12;3.76E+31
1981;J1345-6115;J1345-6115;1.253085;3.25E-15;*;*;5.565;*;6.11E+06;2.04E+12;6.52E+31
1849;J1759-3107;J1759-3107;1.078955;3.77E-15;*;*;3.105;*;4.53E+06;2.04E+12;1.19E+32
1710;J1715-3859;J1715-3859;0.928108;4.40E-15;*;*;5.196;*;3.34E+06;2.04E+12;2.17E+32
530;J1549-4848;J1549-4848;0.288355;1.41E-14;*;*;1.308;*;3.24E+05;2.04E+12;2.32E+34
256;J2006+3102;J2006+3102;0.163695;2.49E-14;*;*;6.035;*;1.04E+05;2.04E+12;2.24E+35
1611;B1648-42;J1651-4246;0.844081;4.75E-15;*;*;5.2;*;2.82E+06;2.03E+12;3.12E+32
1289;J1706-4310;J1706-4310;0.616979;6.51E-15;*;*;17.561;*;1.50E+06;2.03E+12;1.09E+33
1093;J1839-0402;J1839-0402;0.52094;7.69E-15;*;*;4.269;*;1.07E+06;2.03E+12;2.15E+33
982;J1308-5844;J1308-5844;0.4647;8.64E-15;*;*;6.462;*;8.52E+05;2.03E+12;3.40E+33
91;J2229+6114;J2229+6114;0.051624;7.83E-14;*;*;3;SNR:G106.6+2.9,GRS:2FGL_J2229.0+6114[naa;1.05E+04;2.03E+12;2.25E+37
178;J1906+0722;J1906+0722;0.111524;3.59E-14;*;*;*;GRS:2FGL_J1906.5+0720[naa+12];4.92E+04;2.02E+12;1.02E+36
1885;J1916+3224;J1916+3224;1.13745;3.47E-15;*;*;7.945;*;5.19E+06;2.01E+12;9.31E+31
2354;B1612-29;J1615-2940;2.477568;1.58E-15;*;*;1.717;*;2.48E+07;2.00E+12;4.11E+30
2271;J1512-5431;J1512-5431;2.040532;1.92E-15;*;*;5.115;*;1.68E+07;2.00E+12;8.92E+30
1760;B1933+15;J1936+1536;0.967338;4.04E-15;*;*;4.624;*;3.79E+06;2.00E+12;1.76E+32
1341;J1844-0030;J1844-0030;0.641098;6.08E-15;*;*;10.44;*;1.67E+06;2.00E+12;9.11E+32
1198;J1233-6312;J1233-6312;0.564759;6.92E-15;*;*;10.02;*;1.29E+06;2.00E+12;1.52E+33
744;B1742-30;J1745-3040;0.367434;1.07E-14;*;*;0.2;*;5.46E+05;2.00E+12;8.49E+33
258;J1648-4611;J1648-4611;0.164958;2.37E-14;*;*;4.468;GRS:2FGL_J1648.4-4612(?)[naa+12];1.10E+05;2.00E+12;2.09E+35
1775;B1841-04;J1844-0433;0.991027;3.91E-15;*;*;3.074;*;4.01E+06;1.99E+12;1.59E+32
1725;J1818-1519;J1818-1519;0.93969;4.11E-15;*;*;5.362;*;3.63E+06;1.99E+12;1.95E+32
1864;B0943+10;J0946+0951;1.097706;3.49E-15;*;*;0.892;XRS:[zsp05];4.98E+06;1.98E+12;1.04E+32
1263;B1818-04;J1820-0427;0.598082;6.33E-15;*;*;2.857;*;1.50E+06;1.97E+12;1.17E+33
431;B0540+23;J0543+2329;0.245984;1.54E-14;*;*;1.565;XRS:[pb15];2.53E+05;1.97E+12;4.09E+34
2345;B1753+52;J1754+5201;2.391397;1.56E-15;*;*;6.25;*;2.42E+07;1.96E+12;4.52E+30
2321;J1848+1516;J1848+1516;2.23377;1.68E-15;*;*;3.545;*;2.11E+07;1.96E+12;5.96E+30
1946;J1838-1046;J1838-1046;1.218354;3.08E-15;*;*;4.114;*;6.27E+06;1.96E+12;6.72E+31
1465;B1508+55;J1509+5531;0.739682;5.00E-15;*;*;2.1;*;2.34E+06;1.95E+12;4.88E+32
1077;J1827-0934;J1827-0934;0.512548;7.23E-15;*;*;4.068;*;1.12E+06;1.95E+12;2.12E+33
2253;J1825-1108;J1825-1108;1.925872;1.90E-15;*;*;2.75;*;1.61E+07;1.94E+12;1.05E+31
1717;J1859+1526;J1859+1526;0.933972;3.93E-15;*;*;4.119;*;3.77E+06;1.94E+12;1.90E+32
2371;J1404+1159;J1404+1159;2.650439;1.38E-15;*;*;2.189;*;3.05E+07;1.93E+12;2.92E+30
2291;J1954+1021;J1954+1021;2.09944;1.73E-15;*;*;4.28;*;1.92E+07;1.93E+12;7.40E+30
1464;B0923-58;J0924-5814;0.739505;4.92E-15;*;*;0.107;*;2.38E+06;1.93E+12;4.81E+32
1887;J1907+0534;J1907+0534;1.138403;3.15E-15;*;*;11.835;*;5.73E+06;1.92E+12;8.43E+31
1524;J1847-0605;J1847-0605;0.778164;4.65E-15;*;*;4.324;*;2.65E+06;1.92E+12;3.89E+32
1407;J1717-3737;J1717-3737;0.682419;5.29E-15;*;*;4.343;*;2.04E+06;1.92E+12;6.58E+32
1257;J1558-5419;J1558-5419;0.594575;6.04E-15;*;*;7.43;*;1.56E+06;1.92E+12;1.13E+33
687;J1842-0905;J1842-0905;0.344646;1.05E-14;*;*;9.713;*;5.21E+05;1.92E+12;1.01E+34
283;J1052-5954;J1052-5954;0.180592;2.00E-14;*;*;3.143;*;1.43E+05;1.92E+12;1.34E+35
2286;J1919+1745;J1919+1745;2.081343;1.71E-15;*;*;4.094;*;1.93E+07;1.91E+12;7.47E+30
1984;J1913+0657;J1913+0657;1.257181;2.83E-15;*;*;5.069;*;7.04E+06;1.91E+12;5.62E+31
1853;B1758-29;J1801-2920;1.08191;3.29E-15;*;*;3.013;*;5.21E+06;1.91E+12;1.03E+32
1336;B0458+46;J0502+4654;0.638565;5.58E-15;*;*;1.319;*;1.81E+06;1.91E+12;8.46E+32
2409;J1843+2024;J1843+2024;3.406539;1.04E-15;*;*;6.027;*;5.19E+07;1.90E+12;1.04E+30
1709;J1348-6307;J1348-6307;0.927772;3.79E-15;*;*;10.64;*;3.88E+06;1.90E+12;1.87E+32
1178;J1811-1835;J1811-1835;0.557464;6.31E-15;*;*;4.933;*;1.40E+06;1.90E+12;1.44E+33
186;J1429-5911;J1429-5911;0.115843;3.05E-14;*;*;1.955;GRS:2FGL_J1430.0-5909[naa+12];6.02E+04;1.90E+12;7.75E+35
117;J1838-0655;J1838-0655;0.070498;4.92E-14;*;*;6.6;XRS:AX_J1838.0-0655,GRS:HESS_J1837-069;2.27E+04;1.89E+12;5.55E+36
1473;J1858+0215;J1858+0215;0.745828;4.61E-15;*;*;7.229;*;2.56E+06;1.88E+12;4.39E+32
1371;B1845-01;J1848-0123;0.659432;5.25E-15;*;*;4.4;*;1.99E+06;1.88E+12;7.23E+32
1294;B1919+14;J1921+1419;0.618183;5.60E-15;*;*;2.81;*;1.75E+06;1.88E+12;9.36E+32
984;J1711-3826;J1711-3826;0.465365;7.41E-15;*;*;4.146;*;9.95E+05;1.88E+12;2.90E+33
903;J1851-0241;J1851-0241;0.435194;7.96E-15;*;*;7.922;*;8.66E+05;1.88E+12;3.81E+33
575;J1704-3756;J1704-3756;0.305234;1.13E-14;*;*;15.245;*;4.29E+05;1.88E+12;1.57E+34
390;J1632-4757;J1632-4757;0.228569;1.51E-14;*;*;4.836;*;2.40E+05;1.88E+12;4.98E+34
1342;J0532-6639;J0532-6639;0.642743;5.35E-15;*;*;49.7;EXGAL:LMC;1.90E+06;1.88E+12;7.96E+32
1295;J1837-1837;J1837-1837;0.618358;5.50E-15;*;*;3.232;*;1.78E+06;1.87E+12;9.18E+32
835;J1805-2032;J1805-2032;0.405769;8.39E-15;*;*;6.694;*;7.66E+05;1.87E+12;4.96E+33
259;J1835-1106;J1835-1106;0.165918;2.06E-14;*;*;3.159;*;1.28E+05;1.87E+12;1.78E+35
