t,ImJy,ampPeakPIfit,dAmpPeakPIfit,phiPeakPIfit_rm2,dPhiPeakPIfit_rm2,polAngle0Chan_deg,dPolAngle0Chan_deg,polAngleChan_deg,dPolAngleChan_deg
5165061280.305813,8.243129,0.007186781160163909,0.03188098431888552,-529.7185800145782,41.8742786023081,139.43440326904238,404.0714334341343,104.54852294921875,127.14716128684576
5165061282.306607,6.992112,0.007087711121306789,0.03428295384706395,-532.3375162302023,45.6585655094575,153.4238461448531,423.6289520452611,142.40041732788086,138.69658186613873
5165061284.307361,8.491165,0.00592224869484074,0.030100693458830503,-531.235432571478,47.977752224253464,152.66945129227497,438.33030505467235,48.05292892456055,145.8166607962001
5165061286.308154,11.284957,0.007511637403128411,0.03228486207940755,-531.8075519223067,40.57087336690808,157.34939642370227,365.00557555091484,127.2597427368164,123.12809439989333
5165061288.308908,20.7195,0.004587079506249445,0.030413864727467942,-533.0538120528222,62.587179361763866,175.64963938092023,539.4156959630361,0.11796024441719055,190.1316210304219
5165061290.309702,32.693726,0.0175611406545895,0.02798203746554796,-531.9104602577344,15.040997863016722,159.48371441250583,140.41825919646996,109.83946990966797,45.649850657558204
5165061292.310455,47.40889,0.03734951399651412,0.028366395254054377,-531.0390221522352,7.169175833692231,158.42686530738865,71.5700016024028,102.47575378417969,21.807085508786205
5165061294.311249,59.037617,0.02877551244739288,0.021667205947958283,-532.3084749797877,7.10771297997944,161.98400259584105,68.46283619209674,125.98323440551758,21.601570271903796
5165061296.312043,178.88858,0.04322205886025202,0.02817906402373022,-533.2531868221797,6.154193547207773,4.617284043970358,59.41529150798472,112.54483795166016,18.681967746655925
5165061298.312797,210.116089,0.017462794371470802,0.028659226186388827,-538.1512125836367,15.491759888761969,35.87904186513879,173.03999576470142,108.55133819580078,47.07623729153953
5165061300.31359,204.384415,0.06428061747719935,0.027400500804439683,-532.3371980421355,4.023726912875558,170.73105333746298,42.01514203430994,20.679622650146484,12.22444448812342
5165061302.314344,166.584579,0.012123961711707458,0.02883775632519043,-529.4021539945328,22.452615998643036,152.52411861389555,253.84390684358493,69.21864318847656,68.28774167702703
5165061304.315138,153.610962,0.012844265464439104,0.026333558956698342,-534.4168465406036,19.353090246384756,138.74470467873107,205.24378690842184,49.11320495605469,58.90838264885088
5165061306.315891,189.846558,0.036150581802577866,0.02933046863318164,-530.8043271600161,7.658676898877058,66.99715382013892,81.55477724878004,177.65291714668274,23.276688615713354
5165061308.316686,105.93161,0.02036857971509911,0.028724430108746476,-523.6931704505096,13.311920373942126,94.31385852747007,156.6779020771361,177.68513774871826,40.432918259488424
5165061310.317439,67.265129,0.03635060892281451,0.023884240944195317,-530.3455651012174,6.20225746633637,144.8604255244236,60.784430252513175,21.172271728515625,18.829653561114277
5165061312.318233,109.054405,0.07478688282908419,0.029741403112269155,-532.4107168384629,3.7539290377337458,157.00933622106277,39.47391235481729,145.78450775146484,11.407585032828253
5165061314.318986,89.804573,0.02785881736114258,0.024317034308675465,-531.1381963481728,8.239445179201708,167.75076595177688,86.05225317643671,21.795921325683594,25.05411272973278
5165061316.31978,176.582748,0.04544590912408588,0.029239608094988195,-531.1043509364907,6.073328731569995,170.17886536315746,58.805233863503965,105.19470977783203,18.45945494317462
5165061318.320534,189.173477,0.08641120816595203,0.026146535543174882,-530.819975610853,2.8562361544852433,151.52325054471567,30.918387607183142,165.3806676864624,8.68765678081129
5165061320.321327,141.516678,0.06622513808186652,0.028946283269797948,-531.52599533421,4.12591211088635,167.41126019246713,45.63526747024755,14.110995292663574,12.525455115426581
