tindex,t,IJy,ampPeakPIfit,dAmpPeakPIfit,phiPeakPIfit_rm2,dPhiPeakPIfit_rm2,polAngle0Chan_deg,dPolAngle0Chan_deg,polAngleChan_deg,dPolAngleChan_deg,fracPol,alpha,alphaerr
358,5165061232.287205,0.024846,0.003239,0.000949,2837.417976,2.765656,179.274828,29.982257,69.325668,8.403030,0.130370,-2.518405,0.660475
359,5165061234.287998,0.027222,0.003987,0.000957,1046.028323,2.265575,134.546300,24.698562,67.358833,6.878635,0.146470,-2.628991,0.616249
360,5165061236.288752,0.024530,0.003060,0.000941,-1971.695756,2.902047,56.391749,31.257599,15.944528,8.820838,0.124733,-2.401013,0.653893
361,5165061238.289545,0.028516,0.003009,0.000968,1928.513343,3.035262,27.983792,33.424887,92.369164,9.232995,0.105521,-2.776746,0.606253
362,5165061240.290299,0.023939,0.003321,0.000923,-528.372957,2.624887,117.227487,27.814875,87.435486,7.966246,0.138710,-2.157635,0.640280
363,5165061242.291093,0.028988,0.007653,0.000962,-530.232127,1.186222,109.632808,12.975947,44.464821,3.600442,0.259167,-2.695401,0.586526
364,5165061244.291846,0.033977,0.010983,0.000919,-532.235787,0.789614,77.622103,8.339758,36.744904,2.398452,0.320623,-2.091478,0.445791
365,5165061246.292641,0.100917,0.010714,0.000919,-533.193284,0.809948,120.693520,8.555585,58.382568,2.459224,0.105261,-2.099843,0.150315
366,5165061248.293394,0.116680,0.010215,0.000971,-531.652728,0.897752,2.156026,9.893770,50.700874,2.724836,0.086631,-2.831745,0.149863
367,5165061250.294188,0.083089,0.020986,0.000935,-531.432082,0.420389,3.294125,4.500562,56.828617,1.276489,0.251999,-2.316411,0.189963
368,5165061252.294941,0.044446,0.011930,0.000938,-531.775765,0.741857,177.477341,7.957872,35.507423,2.251457,0.266503,-2.357974,0.357929
369,5165061254.295735,0.035960,0.015636,0.000914,-531.139079,0.552089,179.089360,5.813044,161.438086,1.678147,0.433098,-2.031645,0.416797
370,5165061256.296529,0.027588,0.005622,0.000913,-532.865449,1.533320,179.728422,16.137222,150.892853,4.663872,0.197511,-2.013939,0.541607
371,5165061258.297282,0.030211,0.006850,0.000922,-532.960474,1.270091,1.046502,13.451402,105.490273,3.858174,0.221978,-2.134113,0.505209
372,5165061260.298077,0.029696,0.012824,0.000885,-531.219563,0.651366,166.155753,6.664541,140.985870,1.979803,0.429485,-1.600576,0.470630
373,5165061262.298830,0.031977,0.008307,0.000927,-531.418419,1.052919,160.011527,11.195597,76.012451,3.197265,0.256048,-2.203890,0.483389
374,5165061264.299623,0.026619,0.010011,0.000881,-532.538490,0.830521,156.542818,8.464652,156.954868,2.525407,0.372713,-1.538326,0.520240
375,5165061266.300377,0.032929,0.013141,0.000922,-531.610330,0.662320,158.441904,7.011174,99.227776,2.010345,0.396812,-2.139062,0.463916
376,5165061268.301171,0.026352,0.011035,0.000900,-531.984086,0.769702,170.006987,7.982129,56.023582,2.336319,0.415535,-1.819843,0.548797
377,5165061270.301925,0.033411,0.012873,0.000912,-532.124325,0.668740,176.379669,7.017494,172.648232,2.030482,0.383075,-1.996011,0.445837
378,5165061272.302718,0.029567,0.014013,0.000880,-530.764735,0.593032,158.361438,6.044078,178.970245,1.804066,0.471782,-1.531701,0.467926
379,5165061274.303473,0.030726,0.011470,0.000913,-532.843422,0.751540,6.235356,7.905723,157.691048,2.284968,0.370575,-2.013194,0.486242
380,5165061276.304266,0.025507,0.008988,0.000893,-532.079078,0.937818,157.757790,9.663001,84.089584,2.847327,0.348359,-1.719667,0.558001
381,5165061278.305059,0.028243,0.007836,0.000929,-530.663511,1.119594,146.981705,11.946250,66.595039,3.403489,0.272920,-2.242801,0.551226
382,5165061280.305813,0.024460,0.005946,0.000906,-532.172951,1.438171,151.193207,15.008568,2.116505,4.367495,0.236509,-1.908004,0.599939
383,5165061282.306607,0.029365,0.007295,0.000955,-533.316605,1.235133,173.007352,13.435407,105.859421,3.749078,0.243482,-2.594687,0.567367
384,5165061284.307361,0.024146,0.005280,0.000901,-530.136309,1.610529,134.848052,16.716611,32.601200,4.887881,0.211226,-1.835170,0.600450
385,5165061286.308154,0.030233,0.009872,0.000928,-532.608458,0.887355,156.583158,9.466520,65.309258,2.700286,0.323183,-2.223034,0.513064
386,5165061288.308908,0.030686,0.003453,0.000856,-533.053194,2.340789,170.841321,23.197675,133.646328,7.111891,0.112544,-1.157767,0.429232
387,5165061290.309702,0.050403,0.025451,0.000906,-531.296538,0.336024,161.160412,3.508517,11.489176,1.020878,0.504213,-1.909506,0.291215
388,5165061292.310455,0.055401,0.034083,0.000885,-531.437144,0.245223,157.335374,2.508000,129.272228,0.744677,0.614725,-1.607640,0.252535
389,5165061294.311249,0.099221,0.039194,0.000964,-531.862006,0.232180,163.947711,2.544118,68.499229,0.704652,0.394746,-2.727815,0.172495
390,5165061296.312043,0.260185,0.029515,0.000938,-535.325142,0.300058,16.551229,3.220520,14.171614,0.910665,0.113308,-2.366996,0.061248
391,5165061298.312797,0.264183,0.028699,0.000959,-532.592553,0.315457,164.880216,3.453417,93.833435,0.960198,0.108493,-2.658458,0.063878
392,5165061300.313590,0.237206,0.059831,0.000911,-531.565064,0.143688,171.945715,1.505688,175.308267,0.436172,0.252165,-1.977916,0.062602
393,5165061302.314344,0.211926,0.010776,0.000969,-544.545248,0.848905,52.446796,9.356625,159.440588,2.581618,0.050372,-2.797908,0.081933
394,5165061304.315138,0.190731,0.018753,0.000932,-534.739084,0.469209,138.756046,5.015379,168.446557,1.425493,0.098042,-2.281749,0.082217
395,5165061306.315891,0.239691,0.029871,0.000935,-531.944825,0.295525,83.537443,3.163881,134.154106,0.896946,0.124482,-2.324212,0.065947
396,5165061308.316686,0.079206,0.036100,0.000864,-530.311090,0.225961,153.828536,2.257600,98.197006,0.685899,0.455481,-1.282005,0.168842
397,5165061310.317439,0.111382,0.048764,0.000950,-532.246795,0.183850,154.629355,1.993834,130.165737,0.558486,0.437613,-2.528308,0.147621
398,5165061312.318233,0.117685,0.067616,0.000902,-531.406117,0.125909,160.863563,1.308873,34.739620,0.382329,0.574430,-1.850236,0.123500
399,5165061314.318986,0.126417,0.012234,0.000938,-521.924729,0.723739,91.172968,7.768379,58.344879,2.197137,0.096115,-2.363363,0.125970
400,5165061316.319780,0.221644,0.071583,0.000904,-531.198068,0.119248,169.718542,1.243406,29.738066,0.362375,0.322905,-1.885064,0.065953
401,5165061318.320534,0.232140,0.071717,0.000931,-531.230076,0.122556,169.566051,1.309410,61.526260,0.372492,0.308880,-2.267360,0.067370
402,5165061320.321327,0.141249,0.070062,0.000892,-531.707000,0.120183,166.337470,1.236706,98.282043,0.364753,0.495926,-1.705808,0.100545
403,5165061322.322122,0.159117,0.081757,0.000940,-531.443728,0.108572,167.865704,1.167964,11.441276,0.329677,0.513739,-2.396962,0.100727
404,5165061324.322875,0.095634,0.103505,0.000860,-531.617026,0.078471,167.114576,0.780617,119.312050,0.238185,1.082209,-1.222843,0.138808
405,5165061326.323668,0.377296,0.047863,0.000987,-529.543507,0.194566,152.916823,2.170261,149.820671,0.591130,0.126796,-3.042513,0.048453
406,5165061328.324422,0.396737,0.019922,0.000906,-550.936989,0.429457,81.847439,4.481568,92.406509,1.303550,0.050095,-1.914894,0.037030
407,5165061330.325216,0.235296,0.027837,0.000962,-513.582691,0.326103,151.714374,3.570911,95.896599,0.990858,0.118145,-2.694748,0.072250
408,5165061332.325970,0.244208,0.020524,0.000963,-550.581257,0.443098,109.804047,4.853188,169.076742,1.344851,0.083831,-2.719077,0.069959
409,5165061334.326763,0.091521,0.054962,0.000869,-531.059309,0.149253,165.201412,1.501858,60.407639,0.453798,0.600372,-1.358307,0.147578
410,5165061336.327517,0.089290,0.010040,0.000941,-553.370222,0.885069,144.049093,9.550471,100.922722,2.693549,0.111298,-2.410903,0.179980
411,5165061338.328311,0.111066,0.025985,0.000919,-531.583607,0.333809,161.716270,3.523653,119.672604,1.013183,0.233625,-2.094495,0.136450
412,5165061340.329064,0.179282,0.020245,0.000945,-531.786535,0.440786,166.077988,4.758866,163.896898,1.337738,0.112641,-2.467037,0.090617
413,5165061342.329858,0.235995,0.072528,0.000946,-531.662391,0.123071,167.963366,1.329061,164.541558,0.373531,0.307269,-2.470432,0.068886
414,5165061344.330652,0.432887,0.025323,0.000986,-527.225940,0.367408,131.184392,4.096489,170.930645,1.116535,0.058395,-3.029519,0.042114
415,5165061346.331406,0.513194,0.049905,0.001029,-531.389587,0.194574,85.955773,2.231877,56.716438,0.590755,0.097196,-3.643946,0.040669
416,5165061348.332199,0.374005,0.027473,0.000959,-534.878277,0.329506,4.203831,3.598552,75.813690,1.000614,0.073353,-2.657341,0.045111
417,5165061350.332953,0.230602,0.046121,0.000891,-531.010245,0.182456,169.530629,1.881742,104.783936,0.555306,0.199916,-1.697647,0.061508
418,5165061352.333747,0.325164,0.123424,0.000981,-531.372171,0.075012,165.131508,0.832942,169.558820,0.227823,0.379546,-2.961841,0.055264
419,5165061354.334500,0.259579,0.041648,0.000965,-533.361961,0.218823,168.670902,2.400553,47.321163,0.664163,0.160346,-2.747666,0.066203
420,5165061356.335295,0.150304,0.034815,0.001000,-532.314603,0.271083,169.107580,3.051696,86.096321,0.823460,0.231411,-3.229661,0.126650
421,5165061358.336048,0.064142,0.050178,0.000888,-531.162946,0.167003,169.379802,1.714237,127.067951,0.507777,0.782020,-1.642502,0.219268
422,5165061360.336842,0.066175,0.037950,0.000935,-531.931740,0.232541,165.104062,2.488968,37.223564,0.705782,0.573071,-2.320192,0.238683
423,5165061362.337595,0.050522,0.040836,0.000861,-531.416882,0.198998,166.458635,1.981623,115.714821,0.604333,0.807858,-1.229805,0.262975
424,5165061364.338389,0.094198,0.042986,0.000967,-531.821526,0.212313,164.527041,2.331371,55.512802,0.644349,0.456071,-2.766745,0.183151
425,5165061366.339183,0.094627,0.035870,0.000920,-530.761008,0.242001,149.114874,2.560863,121.485485,0.735889,0.378782,-2.104315,0.160435
426,5165061368.339936,0.171982,0.026104,0.000986,-532.295695,0.356683,165.780259,3.977809,144.252411,1.083611,0.151532,-3.039896,0.106238
427,5165061370.340731,0.170110,0.028533,0.000962,-531.469595,0.318215,167.706348,3.482347,82.833015,0.966128,0.167516,-2.697655,0.099995
428,5165061372.341484,0.109363,0.007670,0.000950,-532.220866,1.169786,96.189212,12.689483,68.024017,3.552314,0.068883,-2.538547,0.150651
429,5165061374.342278,0.104403,0.024026,0.000947,-531.315396,0.372230,162.975583,4.029526,150.388525,1.130836,0.229712,-2.495575,0.156479
430,5165061376.343031,0.093020,0.009598,0.000885,-532.585815,0.870676,157.898184,8.917644,130.724621,2.648230,0.102164,-1.605468,0.150355
431,5165061378.343825,0.035054,0.009134,0.000951,-530.143220,0.983135,140.965888,10.665192,127.593132,2.983753,0.257285,-2.549495,0.471025
432,5165061380.344579,0.029833,0.003340,0.000931,3005.661956,2.631049,85.328099,28.097030,176.960417,7.994810,0.111946,-2.263344,0.523846
433,5165061382.345372,0.024516,0.005791,0.000866,-532.310117,1.411342,168.653455,14.133368,85.106758,4.286040,0.230048,-1.307647,0.547283
434,5165061384.346167,0.059285,0.002984,0.000942,-502.507718,2.979123,54.863098,32.070456,26.831547,9.041342,0.050337,-2.417618,0.271420
435,5165061386.346920,0.059238,0.003551,0.000925,-506.735768,2.459724,151.972297,26.167148,169.716806,7.481535,0.059944,-2.185156,0.260042
436,5165061388.347713,0.030138,0.009154,0.000919,-529.603807,0.947351,152.451233,10.003153,129.859299,2.876876,0.300190,-2.091230,0.502558
