F0,F1,chi2,delta_chi2
0.0007586126411230996,-3.0277430928797556e-18,609.4655218286837,537.6671698690127
0.0007586126449848446,-3.0277430928797556e-18,617.3616688833953,545.5633169237243
0.0007586126488465895,-3.0277430928797556e-18,625.3352518539251,553.5368998942541
0.0007586126527083345,-3.0277430928797556e-18,633.3862707381049,561.587918778434
0.0007586126565700795,-3.0277430928797556e-18,641.5147255334947,569.7163735738237
0.0007586126604318244,-3.0277430928797556e-18,649.7206162377183,577.9222642780474
0.0007586126642935695,-3.0277430928797556e-18,658.0039428483101,586.2055908886391
0.0007586126681553144,-3.0277430928797556e-18,666.3647053630899,594.5663534034189
0.0007586126720170594,-3.0277430928797556e-18,674.8029037796744,603.0045518200034
0.0007586126758788043,-3.0277430928797556e-18,683.31853809546,611.520186135789
0.0007586126797405493,-3.0277430928797556e-18,691.9116083083702,620.1132563486992
